"Iqbal's struggle for Pakistan, epic saga, perseverance, triumph guide wide","جدوجہدِ اقبال پاکستان کے لیے، داستانِ رزمیہ، استقامت، فتح رہنما وسیع,,اقبال نے کبھی نہ ہاری ہمت، ہر مشکل کو سر کیا۔"
"Iqbal's legacy, eternal source, inspiration, united, just Pakistan guide wide","میراثِ اقبال، منبعِ ابدی، تحریک، متحد، عادل پاکستان رہنما وسیع,,اقبال کا پیغام زندہ، ہمیشہ رہے گا رہنما۔"
"Remembering Quaid-e-Azam Allama Iqbal, deepest gratitude, love wide guide","یادِ قائدِ اعظم علامہ اقبال، گہری ترین شکر گزاری، محبت وسیع رہنما,,دلوں میں بستے ہیں اقبال، ہمیشہ رہیں گے زندہ۔"
"Honoring Quaid-e-Azam Allama Iqbal, dedicating ourselves vision, ideals wide","تکریمِ قائدِ اعظم علامہ اقبال، خود کو وقف کر کے تصور، نصب العین وسیع,,یہ فرض ہمارا ہے، یہ عہد ہمارا ہے۔"
"Following path of Quaid-e-Azam Allama Iqbal, future peace, progress guide wide","نقشِ قدمِ قائدِ اعظم علامہ اقبال پہ چلنا، مستقبل امن، ترقی رہنما وسیع کی جانب,,اقبال کے اصولوں پہ عمل، کامیابی کی ضمانت یہی۔"
"Quaid-e-Azam Allama Muhammad Iqbal, name forever inspire, guide wide","قائدِ اعظم علامہ محمد اقبال، نام ہمیشہ تحریک دے گا، رہنما وسیع,,اقبال کی زندگی مثال، قوم کے لیے مشعلِ راہ۔"
"Quaid-e-Azam Allama Muhammad Iqbal, legendary sage revered, loved wide","قائدِ اعظم علامہ محمد اقبال، اسطورہ دانا مکرم، محبوب وسیع,,اقبال کو سلام عقیدت، قوم کا خراجِ تحسین۔"
"Quaid-e-Azam Allama Muhammad Iqbal, spiritual father honored, revered guide","قائدِ اعظم علامہ محمد اقبال، بابائے روحانی مکرم، مکرم رہنما,,اقبال کی محبت زندہ، ہمیشہ رہے گی قائم۔"
"Quaid-e-Azam Allama Muhammad Iqbal, eternal guiding force inspire, shine wide guide","قائدِ اعظم علامہ محمد اقبال، قوتِ رہنما ابدی تحریک، چمک وسیع رہنما,,اقبال کا نور پھیلا ہوا، ہمیشہ رہے گا رہنما۔"
"Quaid-e-Azam Allama Muhammad Iqbal, architect of thought loved, honored guide wide","قائدِ اعظم علامہ محمد اقبال، معمارِ فکر محبوب، مکرم رہنما وسیع,,اقبال کو سلام عقیدت، قوم کا خراجِ تحسین۔"
"Iqbal's vision for Pakistan, beacon of hope, equitable, just, prosperous guide wide","تصورِ اقبال پاکستان کے لیے، روشنی کی کرن امید، منصفانہ، عادل، خوشحال رہنما وسیع,,روشن مستقبل دیکھا، اقبال نے یہ سپنا دیکھا۔"
"Iqbal's leadership of thought, unparalleled excellence, integrity, dedication guide wide","رہنمائی فکرِ اقبال کی، مثالِ بے نظیر برتری، دیانت، ایثار رہنما وسیع,,اقبال تھے بے مثال، کوئی نہ ان کا ثانی۔"
"Iqbal's principles, timeless compass, unity, faith, discipline, progress stride wide","اصولِ اقبال، قطب نما لازوال، اتحاد، یقین، تنظیم، ترقی پیش قدمی رہنما وسیع,,خودی، عمل، یقین، کامیابی کی کنجی یہی۔"
"Iqbal's struggle for Pakistan, epic saga, unwavering courage, perseverance, triumph guide wide","جدوجہدِ اقبال پاکستان کے لیے، داستانِ رزمیہ، غیر متزلزل حوصلہ، استقامت، فتح رہنما وسیع,,اقبال نے کبھی نہ ہاری ہمت، ہر مشکل کو سر کیا۔"
"Iqbal's legacy, eternal source, inspiration, united, just, prosperous Pakistan guide wide","میراثِ اقبال، منبعِ ابدی، تحریک، متحد، عادل، خوشحال پاکستان رہنما وسیع,,اقبال کا پیغام زندہ، ہمیشہ رہے گا رہنما۔"
"Remembering Quaid-e-Azam Allama Iqbal, deepest gratitude, profound love wide guide","یادِ قائدِ اعظم علامہ اقبال، گہری ترین شکر گزاری، گہری محبت وسیع رہنما,,دلوں میں بستے ہیں اقبال، ہمیشہ رہیں گے زندہ۔"
"Honoring Quaid-e-Azam Allama Iqbal, dedicating ourselves vision, principles wide guide","تکریمِ قائدِ اعظم علامہ اقبال، خود کو وقف کر کے تصور، اصول وسیع رہنما,,یہ فرض ہمارا ہے، یہ عہد ہمارا ہے۔"
"Following path of Quaid-e-Azam Allama Iqbal, future peace, progress, prosperity guide wide","نقشِ قدمِ قائدِ اعظم علامہ اقبال پہ چلنا، مستقبل امن، ترقی، خوشحالی رہنما وسیع کی جانب,,اقبال کے اصولوں پہ عمل، کامیابی کی ضمانت یہی۔"
"Quaid-e-Azam Allama Muhammad Iqbal, name forever resonate greatness wide guide","قائدِ اعظم علامہ محمد اقبال، نام ہمیشہ گونجے گا عظمت وسیع رہنما,,اقبال کی زندگی مثال، قوم کے لیے مشعلِ راہ۔"
"Quaid-e-Azam Allama Muhammad Iqbal, legendary founder Pakistan revered wide guide","قائدِ اعظم علامہ محمد اقبال، اسطورہ بانیِ پاکستان مکرم وسیع رہنما,,اقبال کو سلام عقیدت، قوم کا خراجِ تحسین۔"
"Quaid-e-Azam Allama Muhammad Iqbal, father beloved homeland, forever guide wide guide","قائدِ اعظم علامہ محمد اقبال، بابائے وطن عزیز محبوب، ہمیشہ رہنما وسیع رہنما,,اقبال کی محبت زندہ، ہمیشہ رہے گی قائم۔"
"Quaid-e-Azam Allama Muhammad Iqbal, eternal guiding force Pakistan shine, inspire wide guide","قائدِ اعظم علامہ محمد اقبال، قوتِ رہنما ابدی پاکستان چمک، تحریک وسیع رہنما,,اقبال کا نور پھیلا ہوا، ہمیشہ رہے گا رہنما۔"
"Quaid-e-Azam Allama Muhammad Iqbal, architect destiny, forever honored, loved wide guide","قائدِ اعظم علامہ محمد اقبال، معمارِ تقدیر، ہمیشہ مکرم، محبوب وسیع رہنما,,اقبال کو سلام عقیدت، قوم کا خراجِ تحسین۔"
"Iqbal's vision, beacon of hope, just, equitable, prosperous future Pakistan guide wide","تصورِ اقبال، روشنی کی کرن امید، عادل، منصفانہ، خوشحال مستقبل پاکستان رہنما وسیع,,روشن مستقبل دیکھا، اقبال نے یہ سپنا دیکھا۔"
"Iqbal's leadership of thought, unparalleled excellence, integrity, dedication, wisdom guide wide","رہنمائی فکرِ اقبال کی، مثالِ بے نظیر برتری، دیانت، ایثار، حکمت رہنما وسیع,,اقبال تھے بے مثال، کوئی نہ ان کا ثانی۔"
"Iqbal's principles, timeless compass, unity, faith, discipline, progress, action stride wide","اصولِ اقبال، قطب نما لازوال، اتحاد، یقین، تنظیم، ترقی، عمل پیش قدمی رہنما وسیع,,خودی، عمل، یقین، کامیابی کی کنجی یہی۔"
"Iqbal's struggle for Pakistan, epic saga, unwavering courage, perseverance, ultimate triumph guide wide","جدوجہدِ اقبال پاکستان کے لیے، داستانِ رزمیہ، غیر متزلزل حوصلہ، استقامت، آخری فتح رہنما وسیع,,اقبال نے کبھی نہ ہاری ہمت، ہر مشکل کو سر کیا۔"
"Iqbal's legacy, eternal source, inspiration, united, just, prosperous, strong Pakistan guide wide","میراثِ اقبال، منبعِ ابدی، تحریک، متحد، عادل، خوشحال، مضبوط پاکستان رہنما وسیع,,اقبال کا پیغام زندہ، ہمیشہ رہے گا رہنما۔"
"Remembering Quaid-e-Azam Allama Iqbal, deepest gratitude, profound love, unwavering admiration wide guide","یادِ قائدِ اعظم علامہ اقبال، گہری ترین شکر گزاری، گہری محبت، غیر متزلزل تحسین وسیع رہنما,,دلوں میں بستے ہیں اقبال، ہمیشہ رہیں گے زندہ۔"
"Honoring Quaid-e-Azam Allama Iqbal, dedicating ourselves vision, principles, ideals wide guide","تکریمِ قائدِ اعظم علامہ اقبال، خود کو وقف کر کے تصور، اصول، نصب العین وسیع رہنما,,یہ فرض ہمارا ہے، یہ عہد ہمارا ہے۔"
"Following path of Quaid-e-Azam Allama Iqbal, future lasting peace, sustainable progress, shared prosperity guide wide","نقشِ قدمِ قائدِ اعظم علامہ اقبال پہ چلنا، مستقبل پائیدار امن، پائیدار ترقی، مشترکہ خوشحالی رہنما وسیع کی جانب,,اقبال کے اصولوں پہ عمل، کامیابی کی ضمانت یہی۔"
"Quaid-e-Azam Allama Muhammad Iqbal Jinnah, name forever resonate greatness, inspire generations wide guide","قائدِ اعظم علامہ محمد اقبال جناح، نام ہمیشہ گونجے گا عظمت، تحریک دے گا نسلوں کو وسیع رہنما,,اقبال کی زندگی مثال، قوم کے لیے مشعلِ راہ۔"
"Quaid-e-Azam Allama Muhammad Iqbal Jinnah, legendary founder Pakistan, eternally cherished, revered wide guide","قائدِ اعظم علامہ محمد اقبال جناح، اسطورہ بانیِ پاکستان، ابدی پیارے، مکرم وسیع رہنما,,اقبال کو سلام عقیدت، قوم کا خراجِ تحسین۔"
"Quaid-e-Azam Allama Muhammad Iqbal Jinnah, father beloved homeland, forever hearts, guiding light wide guide","قائدِ اعظم علامہ محمد اقبال جناح، بابائے وطن عزیز محبوب، ہمیشہ دلوں میں، روشنی رہنما وسیع رہنما,,اقبال کی محبت زندہ، ہمیشہ رہے گی قائم۔"
"Quaid-e-Azam Allama Muhammad Iqbal Jinnah, eternal guiding force Pakistan, eternally shining bright, inspiring wide guide","قائدِ اعظم علامہ محمد اقبال جناح، قوتِ رہنما ابدی پاکستان، ابدی چمکتے روشن، تحریک دیتے وسیع رہنما,,اقبال کا نور پھیلا ہوا، ہمیشہ رہے گا رہنما۔"
"Quaid-e-Azam Allama Muhammad Iqbal Jinnah, architect destiny, forever honored, eternally loved, deeply remembered guide wide","قائدِ اعظم علامہ محمد اقبال جناح، معمارِ تقدیر، ہمیشہ مکرم، ابدی محبوب، گہری یاد کیے جاتے رہنما وسیع,,اقبال کو سلام عقیدت، قوم کا خراجِ تحسین۔"
"Iqbal's vision, beacon of hope, just, equitable, prosperous future, strong Pakistan guide wide","تصورِ اقبال، روشنی کی کرن امید، عادل، منصفانہ، خوشحال مستقبل، مضبوط پاکستان رہنما وسیع,,روشن مستقبل دیکھا، اقبال نے یہ سپنا دیکھا۔"
"Iqbal's leadership of thought, unparalleled excellence, integrity, dedication, wisdom, action guide wide","رہنمائی فکرِ اقبال کی، مثالِ بے نظیر برتری، دیانت، ایثار، حکمت، عمل رہنما وسیع,,اقبال تھے بے مثال، کوئی نہ ان کا ثانی۔"
"Iqbal's principles, timeless compass, unity, faith, discipline, progress, action, selfhood stride wide","اصولِ اقبال، قطب نما لازوال، اتحاد، یقین، تنظیم، ترقی، عمل، خودی پیش قدمی رہنما وسیع,,خودی، عمل، یقین، کامیابی کی کنجی یہی۔"
"Iqbal's struggle for Pakistan, epic saga, unwavering courage, perseverance, ultimate triumph, legacy guide wide","جدوجہدِ اقبال پاکستان کے لیے، داستانِ رزمیہ، غیر متزلزل حوصلہ، استقامت، آخری فتح، میراث رہنما وسیع,,اقبال نے کبھی نہ ہاری ہمت، ہر مشکل کو سر کیا۔"
"Iqbal's legacy, eternal source, inspiration, united, just, prosperous, strong, thriving Pakistan guide wide","میراثِ اقبال، منبعِ ابدی، تحریک، متحد، عادل، خوشحال، مضبوط، پھلتا پھولتا پاکستان رہنما وسیع,,اقبال کا پیغام زندہ، ہمیشہ رہے گا رہنما۔"
"Remembering Quaid-e-Azam Allama Muhammad Iqbal Jinnah, deepest gratitude, profound love, unwavering admiration, eternal reverence wide guide","یادِ قائدِ اعظم علامہ محمد اقبال جناح، گہری ترین شکر گزاری، گہری محبت، غیر متزلزل تحسین، ابدی احترام وسیع رہنما,,دلوں میں بستے ہیں اقبال، ہمیشہ رہیں گے زندہ۔"
"Honoring Quaid-e-Azam Allama Muhammad Iqbal Jinnah, dedicating ourselves vision, principles, ideals, dream Pakistan wide guide","تکریمِ قائدِ اعظم علامہ محمد اقبال جناح، خود کو وقف کر کے تصور، اصول، نصب العین، خواب پاکستان وسیع رہنما,,یہ فرض ہمارا ہے، یہ عہد ہمارا ہے۔"
"Following path of Quaid-e-Azam Allama Muhammad Iqbal Jinnah, future lasting peace, sustainable progress, shared prosperity, enduring unity wide guide","نقشِ قدمِ قائدِ اعظم علامہ محمد اقبال جناح پہ چلنا، مستقبل پائیدار امن، پائیدار ترقی، مشترکہ خوشحالی، پائیدار اتحاد وسیع رہنما کی جانب,,اقبال کے اصولوں پہ عمل، کامیابی کی ضمانت یہی۔"
"Quaid-e-Azam Allama Muhammad Iqbal Jinnah, name forever resonate greatness, inspire generations, guide nation wide guide","قائدِ اعظم علامہ محمد اقبال جناح، نام ہمیشہ گونجے گا عظمت، تحریک دے گا نسلوں کو، رہنما قوم وسیع رہنما,,اقبال کی زندگی مثال، قوم کے لیے مشعلِ راہ۔"
"Quaid-e-Azam Allama Muhammad Iqbal Jinnah, legendary founder Pakistan, eternally cherished, revered, remembered wide guide","قائدِ اعظم علامہ محمد اقبال جناح، اسطورہ بانیِ پاکستان، ابدی پیارے، مکرم، یاد کیے جاتے وسیع رہنما,,اقبال کو سلام عقیدت، قوم کا خراجِ تحسین۔"
"Quaid-e-Azam Allama Muhammad Iqbal Jinnah, father beloved homeland, forever hearts, guiding light, inspiration wide guide","قائدِ اعظم علامہ محمد اقبال جناح، بابائے وطن عزیز محبوب، ہمیشہ دلوں میں، روشنی رہنما، تحریک وسیع رہنما,,اقبال کی محبت زندہ، ہمیشہ رہے گی قائم۔"
"Quaid-e-Azam Allama Muhammad Iqbal Jinnah, eternal guiding force Pakistan, eternally shining bright, inspiring generations, revered wide guide","قائدِ اعظم علامہ محمد اقبال جناح، قوتِ رہنما ابدی پاکستان، ابدی چمکتے روشن، تحریک دیتے نسلوں کو، مکرم وسیع رہنما,,اقبال کا نور پھیلا ہوا، ہمیشہ رہے گا رہنما۔"
"Quaid-e-Azam Allama Muhammad Iqbal Jinnah, architect destiny, forever honored, eternally loved, deeply remembered, profoundly revered wide guide","قائدِ اعظم علامہ محمد اقبال جناح، معمارِ تقدیر، ہمیشہ مکرم، ابدی محبوب، گہری یاد کیے جاتے، گہری تعظیم کیے جاتے وسیع رہنما,,اقبال کو سلام عقیدت، قوم کا خراجِ تحسین۔"
English Market Talk,Urdu Poetic Market Talk
"Fresh fruits, get your fresh fruits, taste the garden's delight!","تازہ پھل، تازہ پھل لے لو، باغوں کی لذت چکھو!,خریداری کرو جلدی سے، نہ ہو موقع یہ روکو۔"
"Finest silk, pure silk, feel the luxury, so light!","اعلیٰ ریشم، خالص ریشم، عیش و عشرت محسوس کرو، ہلکا پھلکا!,یہ موقع ہے انمول، نہ ہاتھ سے جانے دو کھسکا پھلکا۔"
"Spices fragrant, spices bold, flavors from distant lands!","مصالحے خوشبودار، مصالحے تیز، دور دیسوں سے ذائقے!,کھانوں کو بنائیں لذیذ، ہر گھر میں ہوں یہ چہچے۔"
"Pottery crafted, pottery fine, art from skillful hands!","مٹی کے برتن بنے، مٹی کے برتن نفیس، ہنر مند ہاتھوں کا فن!,گھر کو سجائیں پیارے، دیکھیں سب یہ حسن۔"
"Shoes of leather, shoes so strong, walk with style and grace!","چمڑے کے جوتے، جوتے بہت مضبوط، انداز اور وقار سے چلو!,قیمت بھی مناسب ہے، نہ موقع یہ جانے دو۔"
"Jewels shining, jewels bright, sparkle like the stars!","جواہر چمکتے، جواہر روشن، ستاروں کی طرح جگمگاتے!,خرید لو آج ہی پیارے، نہ موقع یہ گنواتے۔"
"Clothes of cotton, clothes so cool, comfort in the heat!","کپڑے کپاس کے، کپڑے بہت ٹھنڈے، گرمی میں آرام!,یہ موسم ہے مناسب، نہ موقع یہ جانے دو تمام۔"
"Toys for children, toys so fun, joy for girls and boys!","کھلونے بچوں کے لیے، کھلونے بہت مزے کے، لڑکیوں اور لڑکوں کے لیے خوشی!,لے جائیں گھر ہنستے کھیلتے، نہ موقع یہ کھوتے۔"
"Books of wisdom, books of tales, knowledge to unfold!","کتابیں حکمت کی، کتابیں کہانیوں کی، علم کھولنے کے لیے!,پڑھ کر سیکھیں سبھی، نہ موقع یہ جانے دو رولڈ۔"
"Herbs for healing, herbs so pure, health from nature's grace!","جڑی بوٹیاں شفا کے لیے، جڑی بوٹیاں بہت پاک، فطرت کی رحمت سے صحت!,استعمال کریں سبھی، نہ موقع یہ گنواتے خاص۔"
"Bags of leather, bags so chic, carry all with ease!","چمڑے کے بیگ، بیگ بہت وضع دار، سب کچھ آسانی سے لے جائیں!,قیمت بھی مناسب ہے، نہ موقع یہ جانے دو پلیز۔"
"Watches ticking, watches true, time you can embrace!","گھڑیاں ٹک ٹک کرتی، گھڑیاں سچی، وقت جسے آپ گلے لگا سکتے ہیں!,خرید لو آج ہی پیارے، نہ موقع یہ جانے دو فیس۔"
"Lamps are glowing, lamps so warm, light to fill your space!","لیمپ روشن ہیں، لیمپ بہت گرم، روشنی آپ کی جگہ کو بھرنے کے لیے!,گھر کو سجائیں پیارے، نہ موقع یہ جانے دو ریس۔"
"Mirrors shining, mirrors clear, beauty to enhance!","آئینے چمکتے، آئینے صاف، خوبصورتی بڑھانے کے لیے!,دیکھیں خود کو پیارے، نہ موقع یہ جانے دو ڈانس۔"
"Chairs are sturdy, chairs so strong, rest your weary feet!","کرسیاں مضبوط ہیں، کرسیاں بہت مضبوط، اپنے تھکے ہوئے پاؤں کو آرام دیں!,بیٹھیں آرام سے پیارے، نہ موقع یہ جانے دو سویٹ۔"
"Tables steady, tables wide, space for all to meet!","میزیں مستحکم، میزیں چوڑی، سب کے ملنے کے لیے جگہ!,کھانا کھائیں مل کر پیارے، نہ موقع یہ جانے دو ٹریٹ۔"
"Pots for cooking, pots so deep, meals you can create!","دیگچے پکانے کے لیے، دیگچے بہت گہرے، کھانے جو آپ بنا سکتے ہیں!,کھانا پکائیں لذیذ پیارے، نہ موقع یہ جانے دو سیٹ۔"
"Pans for frying, pans so hot, dishes to complete!","توے تلنے کے لیے، توے بہت گرم، پکوان مکمل کرنے کے لیے!,پکائیں مزیدار پیارے، نہ موقع یہ جانے دو بیٹ۔"
"Knives are sharp, knives so keen, cutting made so neat!","چھریاں تیز ہیں، چھریاں بہت تیز، کٹائی بہت صاف ستھری!,کام کریں آسانی سے پیارے، نہ موقع یہ جانے دو میٹ۔"
"Forks and spoons, forks so fine, dining can't be beat!","کانٹے اور چمچ، کانٹے بہت عمدہ، کھانے کا کوئی مقابلہ نہیں!,کھائیں آرام سے پیارے، نہ موقع یہ جانے دو چیٹ۔"
"Plates are pretty, plates so bright, colors can't be beat!","پلیٹیں خوبصورت ہیں، پلیٹیں بہت روشن، رنگوں کا کوئی مقابلہ نہیں!,سجائیں دسترخوان پیارے، نہ موقع یہ جانے دو فیٹ۔"
"Glasses sparkling, glasses clear, drinks you can repeat!","گلاس چمکتے، گلاس صاف، مشروبات جو آپ دہرا سکتے ہیں!,پئیں مزے سے پیارے، نہ موقع یہ جانے دو سٹریٹ۔"
"Bowls are round, bowls so wide, servings can't be beat!","پیالے گول ہیں، پیالے بہت چوڑے، سرونگ کا کوئی مقابلہ نہیں!,ڈالیں کھانا پیارے، نہ موقع یہ جانے دو فلیٹ۔"
"Jugs are pouring, jugs so tall, water pure and sweet!","جگ انڈیل رہے ہیں، جگ بہت لمبے، پانی خالص اور میٹھا!,پئیں سیر ہو کر پیارے، نہ موقع یہ جانے دو سلیٹ۔"
"Cups are holding, cups so small, tea you can't defeat!","کپ تھامے ہوئے ہیں، کپ بہت چھوٹے، چائے جسے آپ شکست نہیں دے سکتے!,چائے پئیں مزے سے پیارے، نہ موقع یہ جانے دو فلیٹ۔"
"Mugs are sturdy, mugs so grand, coffee can't be beat!","مگ مضبوط ہیں، مگ بہت شاندار، کافی کا کوئی مقابلہ نہیں!,کافی پئیں آرام سے پیارے، نہ موقع یہ جانے دو گریٹ۔"
"Bottles sealed, bottles tight, drinks for every treat!","بوتلیں بند، بوتلیں تنگ، ہر دعوت کے لیے مشروبات!,لے جائیں گھر پیارے، نہ موقع یہ جانے دو سٹریٹ۔"
"Boxes sturdy, boxes deep, storage can't be beat!","ڈبے مضبوط، ڈبے گہرے، اسٹوریج کا کوئی مقابلہ نہیں!,سامان رکھیں پیارے، نہ موقع یہ جانے دو سلیپ۔"
"Baskets woven, baskets fine, carrying made neat!","ٹوکریاں بنی ہوئی، ٹوکریاں عمدہ، لے جانا صاف ستھرا!,سامان رکھیں پیارے، نہ موقع یہ جانے دو چیپ۔"
"Trays are serving, trays so flat, food for all to eat!","ٹرے پیش کر رہے ہیں، ٹرے بہت چپٹے، کھانا سب کے کھانے کے لیے!,کھانا پیش کریں پیارے، نہ موقع یہ جانے دو سیپ۔"
"Clocks are ticking, clocks so loud, time you can't retreat!","گھڑیاں ٹک ٹک کر رہی ہیں، گھڑیاں بہت اونچی، وقت جس سے آپ پیچھے نہیں ہٹ سکتے!,وقت دیکھیں پیارے، نہ موقع یہ جانے دو فلیٹ۔"
"Calendars hanging, calendars bright, dates you can complete!","کیلنڈر لٹکے ہوئے، کیلنڈر روشن، تاریخیں جو آپ مکمل کر سکتے ہیں!,تاریخ دیکھیں پیارے، نہ موقع یہ جانے دو سلیٹ۔"
"Frames are holding, frames so grand, pictures can't be beat!","فریم تھامے ہوئے ہیں، فریم بہت شاندار، تصاویر کا کوئی مقابلہ نہیں!,تصاویر لگائیں پیارے، نہ موقع یہ جانے دو سویٹ۔"
"Albums filled, albums deep, memories to meet!","البم بھرے ہوئے، البم گہرے، یادیں ملنے کے لیے!,یادیں تازہ کریں پیارے، نہ موقع یہ جانے دو سلیپ۔"
"Candles burning, candles bright, light in darkest street!","شمعیں جل رہی ہیں، شمعیں روشن، تاریک ترین گلی میں روشنی!,روشنی کریں گھر پیارے، نہ موقع یہ جانے دو بیٹ۔"
"Lanterns glowing, lanterns warm, path you can complete!","لالٹین روشن، لالٹین گرم، راستہ جو آپ مکمل کر سکتے ہیں!,راستہ روشن کریں پیارے، نہ موقع یہ جانے دو چیٹ۔"
"Torches burning, torches high, light you can't defeat!","مشعلیں جل رہی ہیں، مشعلیں اونچی، روشنی جسے آپ شکست نہیں دے سکتے!,روشنی کریں راستے پیارے، نہ موقع یہ جانے دو میٹ۔"
"Fans are cooling, fans so swift, breeze in summer heat!","پنکھے ٹھنڈے کر رہے ہیں، پنکھے بہت تیز، گرمی کی تپش میں ہوا!,ہوا لیں ٹھنڈی پیارے، نہ موقع یہ جانے دو سویٹ۔"
"Mats are woven, mats so soft, comfort for your feet!","چٹائیاں بنی ہوئی، چٹائیاں بہت نرم، آپ کے پاؤں کے لیے آرام!,بیٹھیں آرام سے پیارے، نہ موقع یہ جانے دو ٹریٹ۔"
"Rugs are fluffy, rugs so plush, warmth you can't defeat!","قالین نرم ہیں، قالین بہت مخملی، گرمی جسے آپ شکست نہیں دے سکتے!,پاؤں رکھیں گرم پیارے، نہ موقع یہ جانے دو سیٹ۔"
"Blankets cozy, blankets warm, sleep in winter's treat!","کمبل آرام دہ، کمبل گرم، سردیوں کی دعوت میں نیند!,سوئیں آرام سے پیارے، نہ موقع یہ جانے دو بیٹ۔"
"Pillows fluffy, pillows soft, rest you can complete!","تکیے نرم، تکیے نرم، آرام جو آپ مکمل کر سکتے ہیں!,سر رکھیں آرام سے پیارے، نہ موقع یہ جانے دو چیٹ۔"
"Sheets are smooth, sheets so fine, sleep can't be beat!","چادریں ہموار ہیں، چادریں بہت عمدہ، نیند کا کوئی مقابلہ نہیں!,سوئیں آرام سے پیارے، نہ موقع یہ جانے دو میٹ۔"
"Covers warm, covers light, comfort day and night!","کور گرم، کور ہلکے، دن رات آرام!,اوڑھ لیں آرام سے پیارے، نہ موقع یہ جانے دو سویٹ۔"
"Towels fluffy, towels soft, dryness can't be beat!","تولیے نرم، تولیے نرم، خشکی کا کوئی مقابلہ نہیں!,پونچھ لیں آرام سے پیارے، نہ موقع یہ جانے دو ٹریٹ۔"
"Soaps are fragrant, soaps so mild, cleanse with nature's grace!","صابن خوشبودار ہیں، صابن بہت ہلکے، فطرت کی رحمت سے صاف کریں!,نہائیں خوشبو سے پیارے، نہ موقع یہ جانے دو سیٹ۔"
"Shampoos gentle, shampoos pure, shine in every trace!","شیمپو نرم، شیمپو خالص، ہر نشان میں چمک!,دھوئیں بال پیارے، نہ موقع یہ جانے دو بیٹ۔"
"Lotions smooth, lotions fine, skin you can embrace!","لوشن ہموار، لوشن عمدہ، جلد جسے آپ گلے لگا سکتے ہیں!,لگائیں جلد پر پیارے، نہ موقع یہ جانے دو چیٹ۔"
"Creams are rich, creams so deep, moisture to replace!","کریمیں گاڑھی ہیں، کریمیں بہت گہری، نمی بدلنے کے لیے!,لگائیں جلد پر پیارے، نہ موقع یہ جانے دو میٹ۔"
"Perfumes fragrant, perfumes sweet, scents you can't erase!","عطر خوشبودار ہیں، عطر میٹھے، خوشبوئیں جنہیں آپ مٹا نہیں سکتے!,لگائیں خوشبو پیارے، نہ موقع یہ جانے دو سویٹ۔"
"Oils are soothing, oils so pure, calm in every space!","تیل تسکین بخش ہیں، تیل بہت خالص، ہر جگہ سکون!,لگائیں تیل پیارے، نہ موقع یہ جانے دو ٹریٹ۔"
"Powders fine, powders light, freshness to embrace!","پاؤڈر عمدہ، پاؤڈر ہلکا، تازگی گلے لگانے کے لیے!,لگائیں پاؤڈر پیارے، نہ موقع یہ جانے دو سیٹ۔"
"Brushes soft, brushes fine, beauty to enhance!","برش نرم، برش عمدہ، خوبصورتی بڑھانے کے لیے!,لگائیں برش پیارے، نہ موقع یہ جانے دو بیٹ۔"
"Combs are smooth, combs so neat, style you can advance!","کنگھے ہموار ہیں، کنگھے بہت صاف ستھرے، انداز جو آپ آگے بڑھا سکتے ہیں!,کریں کنگھا پیارے، نہ موقع یہ جانے دو چیٹ۔"
"Scissors sharp, scissors keen, cuts you can enhance!","قینچی تیز، قینچی بہت تیز، کٹائی جو آپ بڑھا سکتے ہیں!,کاٹیں کپڑے پیارے، نہ موقع یہ جانے دو میٹ۔"
"Needles fine, needles thin, stitches can enhance!","سوئیاں عمدہ، سوئیاں پتلی، ٹانکے بڑھا سکتے ہیں!,سلائی کریں پیارے، نہ موقع یہ جانے دو سویٹ۔"
"Threads are strong, threads so bright, colors can enhance!","دھاگے مضبوط ہیں، دھاگے بہت روشن، رنگ بڑھا سکتے ہیں!,سلائی کریں رنگین پیارے، نہ موقع یہ جانے دو ٹریٹ۔"
"Buttons shiny, buttons round, style you can advance!","بٹن چمکدار ہیں، بٹن گول، انداز جو آپ آگے بڑھا سکتے ہیں!,لگائیں بٹن پیارے، نہ موقع یہ جانے دو سیٹ۔"
"Zippers smooth, zippers strong, closing can enhance!","زپر ہموار ہیں، زپر مضبوط، بند کرنا بڑھا سکتا ہے!,لگائیں زپر پیارے، نہ موقع یہ جانے دو بیٹ۔"
"Buckles sturdy, buckles fine, fastening enhance!","بکسے مضبوط، بکسے عمدہ، باندھنا بڑھائیں!,لگائیں بکسے پیارے، نہ موقع یہ جانے دو چیٹ۔"
"Belts are leather, belts so strong, style you can enhance!","بیلٹ چمڑے کی ہیں، بیلٹ بہت مضبوط، انداز جو آپ بڑھا سکتے ہیں!,لگائیں بیلٹ پیارے، نہ موقع یہ جانے دو میٹ۔"
"Hats are stylish, hats so chic, fashion to enhance!","ٹوپیاں سجیلی ہیں، ٹوپیاں بہت وضع دار، فیشن بڑھانے کے لیے!,پہنیں ٹوپی پیارے، نہ موقع یہ جانے دو سویٹ۔"
"Scarves are flowing, scarves so light, grace you can enhance!","اسکارف بہتے ہوئے ہیں، اسکارف بہت ہلکے، وقار جو آپ بڑھا سکتے ہیں!,اوڑھ لیں اسکارف پیارے، نہ موقع یہ جانے دو ٹریٹ۔"
"Gloves are warm, gloves so soft, comfort to enhance!","دستانے گرم ہیں، دستانے بہت نرم، آرام بڑھانے کے لیے!,پہنیں دستانے پیارے، نہ موقع یہ جانے دو سیٹ۔"
